ds,yhat,yhat_lower,yhat_upper
2022-11-23,18810.55536520956,10748.071615927722,26552.33732253961
2022-11-24,19767.52652181111,12336.914111259353,27382.676195475327
2022-11-25,19621.608346511082,11785.322700290026,27263.739125039338
2022-11-26,19676.826416699296,12922.441518121992,27619.368205140316
2022-11-27,19654.348283643467,11744.70981957443,27944.036980424764
2022-11-28,18891.72202976535,12057.322186559688,26230.956147738365
2022-11-29,20307.97199320095,12362.276568268066,27564.29574201465
2022-11-30,19156.836212573817,11745.136774581873,26589.249425624283
2022-12-01,20039.01637007115,12483.969114814627,27383.802914835225
2022-12-02,19811.05462431778,12203.88006645253,27362.96279974989
2022-12-03,19779.625374013453,12322.035604787217,27121.2901551242
2022-12-04,19668.653279540995,12124.03788102535,26931.440505548497
2022-12-05,18818.465531452322,11124.474699091968,26447.587990736974
2022-12-06,20150.80217103327,12899.871680307222,27784.67844728262
2022-12-07,18921.971610349567,12085.006673700904,26070.838110456152
2022-12-08,19735.02457686123,12182.64521625746,27266.30744358051
2022-12-09,19448.56310085503,12011.984455036505,26845.844732313675
2022-12-10,19370.9745279386,12407.85564703024,26718.999340387316
2022-12-11,19227.503484150184,11646.71239802533,26745.680206455007
2022-12-12,18359.370997166363,10732.379022241763,26046.5822616882
2022-12-13,19688.765375633517,11888.84665097917,26557.807075827244
2022-12-14,18471.992354145757,11154.871474947924,25965.71424487979
2022-12-15,19311.657646777978,11762.999322247188,26165.2311984397
2022-12-16,19065.498011823915,11020.183013326778,26638.311999870377
2022-12-17,19040.649882233643,11285.386724069263,26437.693440765324
2022-12-18,18960.813106844067,11353.125410311119,26612.272953030795
2022-12-19,18165.28775468337,11314.79826905984,25510.027937897816
2022-12-20,19574.165897915707,12118.144132311229,27497.24547334411
2022-12-21,18441.504526336186,11298.440076216179,26065.288414226176
2022-12-22,19367.58007951971,11471.496186535765,26523.81271556735
2022-12-23,19207.792435403266,12397.294452004975,26487.833116683792
2022-12-24,19267.005073395947,11726.533926742159,26448.566619089477
2022-12-25,19266.730776089484,11505.32657816468,26333.15578018809
2022-12-26,18544.36832671272,10793.949047295366,26175.255280420206
2022-12-27,20018.31099584169,12339.75937562007,26909.257650642907
2022-12-28,18941.21057597835,11513.564801336046,26617.196508386965
2022-12-29,19912.266535893104,12400.884046563075,27495.254389463895
2022-12-30,19786.153115876088,13179.112293891356,27991.675564850088
2022-12-31,19867.370527928568,11969.05917084509,26760.486617357285
2023-01-01,19877.429471654337,12404.808513384025,27566.0399739549
2023-01-02,19154.07467122874,11617.129619975318,27008.009505300965
2023-01-03,20616.368865902194,13191.912054780041,28181.629613081546
2023-01-04,19517.922017363686,12202.374294008443,26810.015045846783
2023-01-05,20459.136641670193,12683.007568145656,27447.159935219945
2023-01-06,20296.08370721902,12155.007530624487,27741.289323822693
2023-01-07,20334.797113118155,13161.054123151978,27900.50256478908
2023-01-08,20298.397976760618,12362.812665783298,27253.25802007948
2023-01-09,19526.25655505025,12248.645536957125,26689.727613522515
2023-01-10,20939.015381145382,12926.533861793441,28652.034229414392
2023-01-11,19791.7604895456,12025.202919992646,27640.074852859532
2023-01-12,20686.213636960936,12728.350056159366,27995.89613752116
2023-01-13,20479.561785220067,12952.788158299058,28259.565172353272
2023-01-14,20478.713450128493,12334.793012673297,27750.471149136367
2023-01-15,20407.394447794068,12712.227336637117,28867.178081711576
2023-01-16,19605.29183555526,12326.65929341959,27206.911891351665
2023-01-17,20993.070240075547,13456.427815759998,28425.768520228074
2023-01-18,19825.547674088953,12374.196978902979,27033.796695309316
2023-01-19,20703.90358754495,12890.045708311438,27722.42735507537
2023-01-20,20484.534872375814,13044.839322338485,27592.103356644388
2023-01-21,20473.34850956337,12455.307862948637,28000.59540872736
2023-01-22,20393.1635874158,12837.623685027795,27452.18633436889
